Company,Price,PreviousPrice,Change,ChangePct,Date
LCI,225.41,227.08,-1.67,-0.74,2026-06-08
BCL,76.29,76.86,-0.57,-0.74,2026-06-08
PNSC,504.09,507.8,-3.71,-0.73,2026-06-08
OGDC,318.07,320.31,-2.24,-0.7,2026-06-08
BIPL,25.36,25.54,-0.18,-0.7,2026-06-08
KOHE,15.62,15.73,-0.11,-0.7,2026-06-08
AHCL,14.4,14.5,-0.1,-0.69,2026-06-08
FFC,554.2,558.07,-3.87,-0.69,2026-06-08
SYM,10.14,10.21,-0.07,-0.69,2026-06-08
MUREB,922.58,928.95,-6.37,-0.69,2026-06-08
NCL,37.9,38.16,-0.26,-0.68,2026-06-08
ATLH,1777.45,1789.59,-12.14,-0.68,2026-06-08
AGTL,343.03,345.32,-2.29,-0.66,2026-06-08
PSO,349.22,351.5,-2.28,-0.65,2026-06-08
CSIL-JUN,6.1,6.14,-0.04,-0.65,2026-06-08
KAPCO-JUN,27.61,27.79,-0.18,-0.65,2026-06-08
MCB,405.01,407.61,-2.6,-0.64,2026-06-08
CHAS,75.02,75.5,-0.48,-0.64,2026-06-08
SPL,65.82,65.4,0.42,0.64,2026-06-08
SAIF,34.95,34.73,0.22,0.63,2026-06-08
AKDSL,38.71,38.95,-0.24,-0.62,2026-06-08
APL,523.39,526.62,-3.23,-0.61,2026-06-08
SEPL,142.23,143.1,-0.87,-0.61,2026-06-08
IMAGE,25.15,25.0,0.15,0.6,2026-06-08
IMS,16.49,16.59,-0.1,-0.6,2026-06-08
BERG,95.06,95.63,-0.57,-0.6,2026-06-08
GGL,20.23,20.35,-0.12,-0.59,2026-06-08
ABOT,884.45,889.73,-5.28,-0.59,2026-06-08
HIFA,5.13,5.16,-0.03,-0.58,2026-06-08
WAHN,282.78,284.44,-1.66,-0.58,2026-06-08
GWLC,51.13,50.84,0.29,0.57,2026-06-08
EXIDE,540.2,537.12,3.08,0.57,2026-06-08
COLG,1156.26,1162.75,-6.49,-0.56,2026-06-08
HUMNL-JUNB,11.15,11.21,-0.06,-0.54,2026-06-08
NETSOL,128.7,128.01,0.69,0.54,2026-06-08
IPAK,33.67,33.49,0.18,0.54,2026-06-08
MFFL,158.08,157.24,0.84,0.53,2026-06-08
EPQL,24.64,24.77,-0.13,-0.52,2026-06-08
