Company,Date,Price
TRG,2026-03-19,47.76
UBL,2026-03-19,374.07
UNITY,2026-03-19,8.57
AABS,2026-03-20,860.0
ABL,2026-03-20,170.03
ABOT,2026-03-20,930.64
ACPL,2026-03-20,267.02
AGIC,2026-03-20,34.53
AGIL,2026-03-20,131.36
APL,2026-03-20,519.3
BAFL,2026-03-20,108.97
BAHL,2026-03-20,151.31
CHCC,2026-03-20,248.71
COLG,2026-03-20,1110.54
DGKC,2026-03-20,159.97
EFERT,2026-03-20,200.98
EPCL,2026-03-20,32.06
FATIMA,2026-03-20,131.37
FFC,2026-03-20,493.96
HBL,2026-03-20,258.16
HMB,2026-03-20,106.47
HUBC,2026-03-20,195.18
ISL,2026-03-20,73.24
KAPCO,2026-03-20,26.91
KEL,2026-03-20,7.62
LPL,2026-03-20,18.09
LUCK,2026-03-20,354.85
MARI,2026-03-20,617.07
MCB,2026-03-20,367.89
MLCF,2026-03-20,82.0
NCL,2026-03-20,33.82
NCPL,2026-03-20,59.26
NESTLE,2026-03-20,7887.17
NPL,2026-03-20,65.45
OGDC,2026-03-20,276.61
PNSC,2026-03-20,442.73
POL,2026-03-20,637.38
PPL,2026-03-20,213.83
PSO,2026-03-20,362.92
SYS,2026-03-20,126.43
TGL,2026-03-20,139.82
TRG,2026-03-20,46.24
UBL,2026-03-20,368.72
UNITY,2026-03-20,8.19
